f_code,demersal,tuna,other_pelagic,other_aquatic,catch,sustainable,unsustainable
18,10,,,90,,,
21,16,1,20,62,1.74860202,0.61111111,0.38888889
27,52,1,40,7,8.1435468,0.72727273,0.27272727
31,10,5,47,38,1.39618096,0.62264151,0.37735849
34,15,8,65,12,5.39772814,0.6,0.4
37,15,5,59,21,1.38671478,0.36585366,0.63414634
41,46,3,8,44,1.73458248,0.6,0.4
47,28,5,60,7,1.37771264,0.64705882,0.35294118
48,1,,,99,,,
51,24,23,29,25,5.47042114,0.625,0.375
57,15,9,24,52,6.8385266,0.65306122,0.34693878
58,98,,0,2,,,
61,29,3,25,42,19.3971977,0.55,0.45
67,84,0,1,15,3.170931,0.86206897,0.13793103
71,12,27,20,41,13.9282888,0.79591837,0.20408163
77,6,31,44,20,1.86658908,0.85714286,0.14285714
81,62,7,15,16,0.45453516,0.76923077,0.23076923
87,3,6,77,14,7.79536164,0.6,0.4
88,100,,0,0,,,
